PM10,Riesgo,PM2.5,CO,SO2,tmin,tavg,tmax,prcp,wspd,pres
6.0,Bajo,5.0,0.11,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
7.0,Bajo,6.0,0.13,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
4.0,Bajo,3.0,0.11,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
2.0,Bajo,1.0,0.1,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
2.0,Bajo,1.0,0.1,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
2.0,Bajo,1.0,0.1,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
3.0,Bajo,1.0,0.1,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
5.0,Bajo,2.0,0.11,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
6.0,Bajo,5.0,0.14,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
6.0,Bajo,3.0,0.19,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
12.0,Bajo,4.0,0.24,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
10.0,Bajo,8.0,0.2,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
9.0,Bajo,8.0,0.18,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
9.0,Bajo,5.0,0.15,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
7.0,Bajo,3.0,0.13,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
9.0,Bajo,3.0,0.11,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
7.0,Bajo,6.0,0.13,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
10.0,Bajo,9.0,0.16,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
7.0,Bajo,6.0,0.16,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
9.0,Bajo,6.0,0.16,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
11.0,Bajo,10.0,0.17,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
10.0,Bajo,9.0,0.14,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
8.0,Bajo,7.0,0.13,1.0,9.0,13.2,17.0,2.7,17.4,1010.9
6.0,Bajo,5.0,0.12,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
4.0,Bajo,2.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
3.0,Bajo,2.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
3.0,Bajo,2.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
2.0,Bajo,1.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
3.0,Bajo,2.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
5.0,Bajo,4.0,0.1,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,7.0,0.14,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,7.0,0.15,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,6.0,0.15,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
12.0,Bajo,5.0,0.14,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,6.0,0.14,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
6.0,Bajo,3.0,0.14,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,3.0,0.12,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,3.0,0.13,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,7.0,0.11,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
6.0,Bajo,3.0,0.11,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
5.0,Bajo,1.0,0.11,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
4.0,Bajo,3.0,0.14,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
10.0,Bajo,3.0,0.16,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
8.0,Bajo,1.0,0.17,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,1.0,0.16,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,1.0,0.17,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,1.0,0.22,1.0,10.8,14.2,18.8,0.0,20.6,1015.4
7.0,Bajo,1.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
3.0,Bajo,1.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
5.0,Bajo,4.0,0.1,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
2.0,Bajo,1.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
5.0,Bajo,3.0,0.12,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
16.0,Bajo,15.0,0.23,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
13.0,Bajo,9.0,0.16,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
7.0,Bajo,6.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
5.0,Bajo,4.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
10.0,Bajo,4.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
7.0,Bajo,4.0,0.1,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
6.0,Bajo,5.0,0.11,1.0,11.9,18.0,23.5,0.0,10.7,1016.4
