FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230101;0100;0,25;;;
230101;0200;0,18;;;
230101;0300;0,16;;;
230101;0400;0,14;;;
230101;0500;0,13;;;
230101;0600;0,12;;;
230101;0700;0,13;;;
230101;0800;0,14;;;
230101;0900;0,17;;;
230101;1000;0,15;;;
230101;1100;0,2;;;
230101;1200;0,19;;;
230101;1300;0,18;;;
230101;1400;0,17;;;
230101;1500;0,17;;;
230101;1600;0,17;;;
230101;1700;0,21;;;
230101;1800;0,23;;;
230101;1900;0,28;;;
230101;2000;0,33;;;
230101;2100;0,31;;;
230101;2200;0,21;;;
230101;2300;0,17;;;
230102;0000;0,14;;;
230102;0100;0,11;;;
230102;0200;0,13;;;
230102;0300;0,11;;;
230102;0400;0,1;;;
230102;0500;0,1;;;
230102;0600;0,1;;;
230102;0700;0,1;;;
230102;0800;0,11;;;
230102;0900;0,14;;;
230102;1000;0,19;;;
230102;1100;0,24;;;
230102;1200;0,2;;;
230102;1300;0,18;;;
230102;1400;0,15;;;
230102;1500;0,13;;;
230102;1600;0,11;;;
230102;1700;0,13;;;
230102;1800;0,16;;;
230102;1900;0,16;;;
230102;2000;0,16;;;
230102;2100;0,17;;;
230102;2200;0,14;;;
230102;2300;0,13;;;
230103;0000;0,12;;;
230103;0100;0,1;;;
230103;0200;0,1;;;
230103;0300;0,1;;;
230103;0400;0,1;;;
230103;0500;0,1;;;
230103;0600;0,1;;;
230103;0700;0,14;;;
230103;0800;0,15;;;
230103;0900;0,15;;;
230103;1000;0,14;;;
230103;1100;0,14;;;
230103;1200;0,14;;;
230103;1300;0,12;;;
230103;1400;0,13;;;
230103;1500;0,11;;;
230103;1600;0,11;;;
230103;1700;0,11;;;
230103;1800;0,14;;;
230103;1900;0,16;;;
230103;2000;0,17;;;
230103;2100;0,16;;;
230103;2200;0,17;;;
230103;2300;0,22;;;
230104;0000;0,11;;;
230104;0100;0,11;;;
230104;0200;0,1;;;
230104;0300;0,11;;;
230104;0400;0,12;;;
230104;0500;0,23;;;
230104;0600;0,16;;;
230104;0700;0,11;;;
230104;0800;0,11;;;
230104;0900;0,11;;;
230104;1000;0,1;;;
230104;1100;0,11;;;
230104;1200;0,1;;;
230104;1300;0,1;;;
230104;1400;0,1;;;
230104;1500;0,1;;;
230104;1600;0,1;;;
230104;1700;0,11;;;
230104;1800;0,1;;;
230104;1900;0,1;;;
230104;2000;0,11;;;
230104;2100;0,12;;;
230104;2200;0,26;;;
230104;2300;0,14;;;
230105;0000;0,1;;;
230105;0100;0,1;;;
230105;0200;0,1;;;
230105;0300;0,1;;;
230105;0400;0,1;;;
230105;0500;0,1;;;
230105;0600;0,12;;;
230105;0700;0,11;;;
230105;0800;0,1;;;
230105;0900;0,1;;;
230105;1000;0,1;;;
230105;1100;0,1;;;
230105;1200;0,1;;;
230105;1300;0,1;;;
