date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-02 00:00:00,13.2,9,17,2.7,,287,17.4,,1010.9,
2023-01-03 00:00:00,14.2,10.8,18.8,0,,278,20.6,,1015.4,
2023-01-04 00:00:00,18,11.9,23.5,0,,288,10.7,,1016.4,
2023-01-05 00:00:00,19.4,11,27,0,,320,15.9,,1012.2,
2023-01-06 00:00:00,17.6,15,21.7,1.1,,323,11,,1009.6,
2023-01-07 00:00:00,16.6,14,21,1.7,,331,9.9,,1013,
2023-01-08 00:00:00,15.8,11.2,21.4,0,,39,9.9,,1012.6,
2023-01-09 00:00:00,15.9,13,21.6,13.3,,306,12.9,,1010.6,
2023-01-10 00:00:00,9.6,8,12,12.7,,252,8.3,,1018.5,
2023-01-11 00:00:00,12,8,17,1.9,,332,14.2,,1018.6,
2023-01-12 00:00:00,12.7,6.2,18.5,0,,307,14.8,,1018.3,
2023-01-13 00:00:00,13.6,7.4,18.8,0,,301,12.9,,1013.4,
2023-01-14 00:00:00,14.6,10.1,19.2,0,,297,16.1,,1013.5,
2023-01-15 00:00:00,13.1,6,19,0,,292,14.8,,1017.6,
2023-01-16 00:00:00,14.1,7,25.7,0,,356,11.4,,1015.6,
2023-01-17 00:00:00,14.1,10.4,19.9,0,,245,11.6,,1016.7,
2023-01-18 00:00:00,11.4,9.2,18.5,4.6,,351,13.1,,1016,
2023-01-19 00:00:00,6,9.5,14.8,0,,268,11.2,,1010.8,
2023-01-20 00:00:00,20.7,14.6,32.8,0,,325,12.4,,1010.2,
2023-01-21 00:00:00,17.9,14.3,27,2.2,,292,11.2,,1010.3,
2023-01-22 00:00:00,11.7,5.5,16.7,0,,267,8.9,,1011.4,
2023-01-23 00:00:00,15.2,10,24,16.2,,334,10,,1002.7,
2023-01-24 00:00:00,10.1,7,14,2,,301,10,,1006.7,
2023-01-25 00:00:00,11.9,9,17,5.7,,339,11.4,,1005.5,
2023-01-26 00:00:00,11.9,8.6,16.3,2.5,,273,11.2,,1008.4,
2023-01-27 00:00:00,16.1,8,31,0,,305,12.7,,1016,
2023-01-28 00:00:00,16.5,10.2,23.5,0,,254,20.4,,1015.1,
2023-01-29 00:00:00,18.8,12,25,0,,316,11.8,,1010.7,
2023-01-30 00:00:00,17.1,11,25.9,0,,254,17.5,,1013.4,
2023-01-31 00:00:00,13.6,2,23.3,0,,301,9.9,,1018.1,
2023-02-01 00:00:00,15.6,9,23.1,0,,337,12.2,,1016.9,
2023-02-02 00:00:00,15.3,11.6,23.8,0,,326,12.5,,1020.8,
2023-02-03 00:00:00,18.7,10.5,28.5,0,,332,12.9,,1021,
2023-02-04 00:00:00,20.2,12.2,29.3,0,,350,14.7,,1015,
2023-02-05 00:00:00,20.7,17,30.3,0,,278,16,,1010.1,
2023-02-06 00:00:00,15.9,9.1,22.8,0,,272,14,,1015,
2023-02-07 00:00:00,16.9,11.2,23.2,0,,308,12.9,,1013.4,
2023-02-08 00:00:00,18.9,15,23.2,0,,347,13.7,,1008.9,
2023-02-09 00:00:00,16.4,13.5,19,11.9,,267,17.3,,1005.3,
2023-02-10 00:00:00,13.9,11,19.6,7.1,,346,16.1,,1006.1,
2023-02-11 00:00:00,14.8,12,20.1,0,,12,14.3,,1001.4,
2023-02-12 00:00:00,11.7,8.2,16.7,0,,270,15,,1004,
2023-02-13 00:00:00,8,5,12,17.1,,20,16.1,,1002.8,
2023-02-14 00:00:00,9.6,5.7,13.7,1.3,,336,9.8,,1008.7,
2023-02-15 00:00:00,12.1,7.7,14,0,,272,17.8,,1011.3,
2023-02-16 00:00:00,9.3,1,16.6,0,,309,11,,1022.1,
