FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230102;0100;6;;;
230102;0200;7;;;
230102;0300;4;;;
230102;0400;2;;;
230102;0500;2;;;
230102;0600;2;;;
230102;0700;3;;;
230102;0800;5;;;
230102;0900;6;;;
230102;1000;6;;;
230102;1100;12;;;
230102;1200;10;;;
230102;1300;9;;;
230102;1400;9;;;
230102;1500;7;;;
230102;1600;9;;;
230102;1700;7;;;
230102;1800;10;;;
230102;1900;7;;;
230102;2000;9;;;
230102;2100;11;;;
230102;2200;10;;;
230102;2300;8;;;
230103;0000;6;;;
230103;0100;4;;;
230103;0200;3;;;
230103;0300;3;;;
230103;0400;2;;;
230103;0500;3;;;
230103;0600;5;;;
230103;0700;8;;;
230103;0800;8;;;
230103;0900;7;;;
230103;1000;12;;;
230103;1100;7;;;
230103;1200;6;;;
230103;1300;8;;;
230103;1400;8;;;
230103;1500;8;;;
230103;1600;6;;;
230103;1700;5;;;
230103;1800;4;;;
230103;1900;10;;;
230103;2000;8;;;
230103;2100;7;;;
230103;2200;7;;;
230103;2300;7;;;
230104;0000;7;;;
230104;0100;3;;;
230104;0200;5;;;
230104;0300;2;;;
230104;0400;5;;;
230104;0500;16;;;
230104;0600;13;;;
230104;0700;7;;;
230104;0800;5;;;
230104;0900;10;;;
230104;1000;7;;;
230104;1100;6;;;
230104;1200;7;;;
230104;1300;5;;;
230104;1400;4;;;
230104;1500;6;;;
230104;1600;8;;;
230104;1700;6;;;
230104;1800;6;;;
230104;1900;5;;;
230104;2000;6;;;
230104;2100;11;;;
230104;2200;14;;;
230104;2300;7;;;
230105;0000;6;;;
230105;0100;5;;;
230105;0200;4;;;
230105;0300;2;;;
230105;0400;2;;;
230105;0500;4;;;
230105;0600;4;;;
230105;0700;7;;;
230105;0800;6;;;
230105;0900;4;;;
230105;1000;6;;;
230105;1100;11;;;
230105;1200;7;;;
230105;1300;8;;;
230105;1400;7;;;
230105;1500;5;;;
230105;1600;3;;;
230105;1700;;;8;
230105;1800;11;;;
230105;1900;7;;;
230105;2000;5;;;
230105;2100;6;;;
230105;2200;4;;;
230105;2300;3;;;
230106;0000;10;;;
230106;0100;5;;;
230106;0200;7;;;
230106;0300;5;;;
230106;0400;3;;;
230106;0500;4;;;
230106;0600;5;;;
230106;0700;10;;;
230106;0800;8;;;
230106;0900;10;;;
230106;1000;10;;;
230106;1100;9;;;
230106;1200;9;;;
230106;1300;8;;;
230106;1400;8;;;
230106;1500;5;;;
230106;1600;3;;;
230106;1700;6;;;
230106;1800;6;;;
230106;1900;7;;;
230106;2000;6;;;
230106;2100;10;;;
230106;2200;8;;;
230106;2300;5;;;
230107;0000;6;;;
230107;0100;3;;;
230107;0200;2;;;
230107;0300;2;;;
230107;0400;2;;;
230107;0500;2;;;
230107;0600;6;;;
230107;0700;8;;;
230107;0800;6;;;
230107;0900;4;;;
230107;1000;8;;;
230107;1100;7;;;
230107;1200;7;;;
230107;1300;4;;;
230107;1400;15;;;
230107;1500;12;;;
230107;1600;14;;;
230107;1700;19;;;
230107;1800;10;;;
230107;1900;9;;;
230107;2000;21;;;
230107;2100;12;;;
230107;2200;31;;;
230107;2300;28;;;
230108;0000;20;;;
230108;0100;22;;;
230108;0200;13;;;
230108;0300;7;;;
230108;0400;4;;;
230108;0500;2;;;
230108;0600;11;;;
230108;0700;10;;;
230108;0800;12;;;
230108;0900;13;;;
230108;1000;9;;;
230108;1100;10;;;
230108;1200;8;;;
230108;1300;9;;;
230108;1400;7;;;
230108;1500;5;;;
230108;1600;4;;;
230108;1700;8;;;
230108;1800;9;;;
230108;1900;12;;;
230108;2000;11;;;
230108;2100;13;;;
230108;2200;10;;;
230108;2300;9;;;
