FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230101;0100;7;;;
230101;0200;4;;;
230101;0300;2;;;
230101;0400;3;;;
230101;0500;3;;;
230101;0600;4;;;
230101;0700;7;;;
230101;0800;4;;;
230101;0900;4;;;
230101;1000;3;;;
230101;1100;7;;;
230101;1200;7;;;
230101;1300;4;;;
230101;1400;2;;;
230101;1500;6;;;
230101;1600;5;;;
230101;1700;8;;;
230101;1800;7;;;
230101;1900;11;;;
230101;2000;14;;;
230101;2100;8;;;
230101;2200;3;;;
230101;2300;4;;;
230102;0000;4;;;
230102;0100;5;;;
230102;0200;6;;;
230102;0300;3;;;
230102;0400;1;;;
230102;0500;1;;;
230102;0600;1;;;
230102;0700;1;;;
230102;0800;2;;;
230102;0900;5;;;
230102;1000;3;;;
230102;1100;4;;;
230102;1200;8;;;
230102;1300;8;;;
230102;1400;5;;;
230102;1500;3;;;
230102;1600;3;;;
230102;1700;6;;;
230102;1800;9;;;
230102;1900;6;;;
230102;2000;6;;;
230102;2100;10;;;
230102;2200;9;;;
230102;2300;7;;;
230103;0000;5;;;
230103;0100;2;;;
230103;0200;2;;;
230103;0300;2;;;
230103;0400;1;;;
230103;0500;2;;;
230103;0600;4;;;
230103;0700;7;;;
230103;0800;7;;;
230103;0900;6;;;
230103;1000;5;;;
230103;1100;6;;;
230103;1200;3;;;
230103;1300;3;;;
230103;1400;3;;;
230103;1500;7;;;
230103;1600;3;;;
230103;1700;1;;;
230103;1800;3;;;
230103;1900;3;;;
230103;2000;1;;;
230103;2100;1;;;
230103;2200;1;;;
230103;2300;1;;;
230104;0000;1;;;
230104;0100;1;;;
230104;0200;4;;;
230104;0300;1;;;
230104;0400;3;;;
230104;0500;15;;;
230104;0600;9;;;
230104;0700;6;;;
230104;0800;4;;;
230104;0900;4;;;
230104;1000;4;;;
230104;1100;5;;;
230104;1200;4;;;
230104;1300;4;;;
230104;1400;3;;;
230104;1500;5;;;
230104;1600;4;;;
230104;1700;4;;;
230104;1800;4;;;
230104;1900;4;;;
230104;2000;5;;;
230104;2100;7;;;
230104;2200;7;;;
230104;2300;6;;;
230105;0000;4;;;
230105;0100;4;;;
230105;0200;3;;;
230105;0300;1;;;
230105;0400;1;;;
230105;0500;3;;;
230105;0600;3;;;
230105;0700;6;;;
230105;0800;5;;;
230105;0900;3;;;
230105;1000;4;;;
230105;1100;3;;;
230105;1200;1;;;
230105;1300;1;;;
230105;1400;1;;;
230105;1500;1;;;
230105;1600;1;;;
230105;1700;;;5;
230105;1800;4;;;
230105;1900;2;;;
230105;2000;2;;;
230105;2100;1;;;
230105;2200;1;;;
230105;2300;1;;;
230106;0000;1;;;
230106;0100;1;;;
230106;0200;6;;;
230106;0300;4;;;
230106;0400;2;;;
230106;0500;3;;;
230106;0600;4;;;
230106;0700;6;;;
230106;0800;5;;;
230106;0900;5;;;
230106;1000;7;;;
230106;1100;4;;;
230106;1200;1;;;
230106;1300;1;;;
